2025-04-16 22:18:19.139671 | ENCRYPT | Devraj_print.pdf | aes-gcm | error: encrypt() got an unexpected keyword argument 'output_dir' | N/A
2025-04-16 22:19:09.524447 | ENCRYPT | Devraj_print.pdf | aes-gcm | error: encrypt() got an unexpected keyword argument 'output_dir' | N/A
2025-04-16 22:22:16.346115 | ENCRYPT | Devraj_print.pdf | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-16 22:24:55.160587 | ENCRYPT | Devraj_print.pdf | chacha20 | success | /data/data/com.termux/files/home/FileEnc/Devraj_print.pdf.enc
2025-04-16 22:25:13.045311 | ENCRYPT | Devraj_print.pdf | 3des | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-16 22:25:27.864119 | DECRYPT | Devraj_print.pdf.enc | 3des | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-17 16:14:23.824591 | ENCRYPT_ARCHIVE | ../FileEncSam | aes-cbc | success | /data/data/com.termux/files/home/FileEnc/FileEncSam.zip.enc
2025-04-17 16:15:14.470823 | DECRYPT_ARCHIVE | ../FileEnc/FileEncSam.zip.enc | aes-cbc | error: name 'extract_zip' is not defined | N/A
2025-04-17 16:18:06.961265 | DECRYPT_ARCHIVE | ../FileEnc/FileEncSam.zip.enc | aes-cbc | success | ../FileDec/decrypted_FileEncSam.zip
2025-04-18 13:14:16.580819 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 13:14:30.727491 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-18 15:23:25.338702 | ENCRYPT | Devraj_print.pdf | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 15:23:37.629595 | DECRYPT | Devraj_print.pdf.enc | aes-gcm | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
2025-04-18 16:47:39.389549 | ENCRYPT | Devraj_print.pdf | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/Devraj_print.pdf.enc
2025-04-18 16:48:06.806073 | DECRYPT | Devraj_print.pdf.enc | aes-cbc | success | /data/data/com.termux/files/home/FileEncryptor/decrypted_Devraj_print.pdf
